File,Distance (cm),Mean Voltage (V),Std Dev (V),Min (V),Max (V)
calibration_1cm.csv,1.0,2.682371,0.014313,2.666,2.739
calibration_1.5cm.csv,1.5,2.311238,0.012643,2.29,2.368
calibration_2cm.csv,2.0,2.006657,0.014007,1.982,2.07
calibration_2.5cm.csv,2.5,1.778261,0.014021,1.748,1.836
calibration_3cm.csv,3.0,1.563223,0.013181,1.543,1.611
calibration_3.5cm.csv,3.5,1.402673,0.011785,1.387,1.45
calibration_4cm.csv,4.0,1.283801,0.010607,1.265,1.328
calibration_4.5cm.csv,4.5,1.163471,0.010706,1.152,1.206
calibration_5cm.csv,5.0,1.083364,0.010052,1.069,1.123
calibration_5.5cm.csv,5.5,1.002749,0.009819,0.991,1.04
calibration_6cm.csv,6.0,0.943258,0.011998,0.928,0.981
calibration_6.5cm.csv,6.5,0.883037,0.010299,0.869,0.923
calibration_7cm.csv,7.0,0.829559,0.014179,0.806,0.879
calibration_7.5cm.csv,7.5,0.782578,0.01184,0.771,0.835
calibration_8cm.csv,8.0,0.741692,0.011598,0.728,0.791
calibration_8.5cm.csv,8.5,0.709704,0.014437,0.693,0.781
calibration_9cm.csv,9.0,0.686178,0.013808,0.674,0.747
calibration_9.5cm.csv,9.5,0.653903,0.016804,0.64,0.723
calibration_10cm.csv,10.0,0.637675,0.017409,0.625,0.718
calibration_10.5cm.csv,10.5,0.604791,0.018123,0.581,0.684
calibration_11cm.csv,11.0,0.574608,0.017486,0.557,0.645
calibration_11.5cm.csv,11.5,0.564538,0.015654,0.552,0.635
calibration_12cm.csv,12.0,0.545615,0.013871,0.532,0.615
calibration_12.5cm.csv,12.5,0.524348,0.014671,0.513,0.596
calibration_13cm.csv,13.0,0.507578,0.017033,0.493,0.581
calibration_13.5cm.csv,13.5,0.526339,0.024548,0.508,0.625
calibration_14cm.csv,14.0,0.500389,0.024318,0.483,0.601
calibration_14.5cm.csv,14.5,0.499797,0.017047,0.479,0.596
calibration_15cm.csv,15.0,0.488052,0.030771,0.464,0.586
