Distance (cm),Mean Voltage (V),Std Dev (V),Min (V),Max (V)
1.0,1.229582,0.00315,1.211,1.235
1.5,1.067624,0.004925,1.05,1.074
2.0,1.148922,0.003357,1.133,1.157
2.5,1.697722,0.00349,1.675,1.709
3.0,2.136315,0.006348,2.109,2.144
3.5,2.123942,0.019245,2.061,2.163
4.0,1.730607,0.013047,1.699,1.763
4.5,1.533946,0.026007,1.484,1.582
5.0,1.792241,0.006347,1.777,1.816
5.5,1.730184,0.135363,1.504,1.885
6.0,1.723849,0.088294,1.558,1.875
6.5,1.673334,0.063718,1.567,1.963
7.0,1.698308,0.040307,1.675,1.973
7.5,1.755397,0.074335,1.68,2.026
8.0,1.895269,0.110711,1.772,2.119
8.5,1.966472,0.020369,1.924,2.031
9.0,1.990263,0.078969,1.929,2.256
9.5,2.397414,0.030488,2.334,2.441
10.0,2.527026,0.006728,2.5,2.549
10.5,2.676616,0.007939,2.656,2.695
11.0,2.760907,0.023697,2.705,2.803
11.5,2.902888,0.004684,2.876,2.925
12.0,2.974192,0.003634,2.959,2.983
12.5,2.991517,0.003678,2.974,2.998
13.0,3.012557,0.00384,2.998,3.022
13.5,3.013015,0.003921,3.003,3.022
14.0,2.98878,0.010044,2.959,3.018
14.5,2.981985,0.004089,2.954,2.998
15.0,2.966063,0.006417,2.939,2.983
